# Effective area for Roman (m^2) - parameters as of 2021 06 14,,,,,,,,,,,
Wave,F062,F087,F106,F129,F158,F184,F146,F213,SNPrism,Grism_1stOrder,Grism_0thOrder
0.827,0,2.5525,0,0,0,0,0,0,2.4765,0,0
0.828,0,2.5539,0,0,0,0,0,0,2.4779,0,0
0.829,0,2.5554,0,0,0,0,0,0,2.4793,0,0
0.83,0,2.5569,0,0,0,0,0,0,2.4807,0,0
0.831,0,2.5583,0,0,0,0,0,0,2.4821,0,0
0.832,0,2.5597,0,0,0,0,0,0,2.4835,0,0
0.833,0,2.561,0,0,0,0,0,0,2.4848,0,0
0.834,0,2.5624,0,0,0,0,0,0,2.4861,0,0
0.835,0,2.5638,0,0,0,0,0,0,2.4874,0,0
0.836,0,2.5651,0,0,0,0,0,0,2.4887,0,0
0.837,0,2.5663,0,0,0,0,0,0,2.4899,0,0
0.838,0,2.5679,0,0,0,0,0,0,2.4914,0,0
0.839,0,2.5699,0,0,0,0,0,0,2.4934,0,0
0.84,0,2.5721,0,0,0,0,0,0,2.4955,0,0
0.841,0,2.5737,0,0,0,0,0,0,2.4971,0,0
0.842,0,2.5751,0,0,0,0,0,0,2.4985,0,0
0.843,0,2.5766,0,0,0,0,0,0,2.4999,0,0
0.844,0,2.5784,0,0,0,0,0,0,2.5017,0,0
0.845,0,2.5809,0,0,0,0,0,0,2.5041,0,0
0.846,0,2.5834,0,0,0,0,0,0,2.5065,0,0
0.847,0,2.5854,0,0,0,0,0,0,2.5084,0,0
0.848,0,2.5874,0,0,0,0,0,0,2.5104,0,0
0.849,0,2.5901,0,0,0,0,0,0,2.513,0,0
0.85,0,2.5932,0,0,0,0,0,0,2.516,0,0
0.851,0,2.5966,0,0,0,0,0,0,2.5193,0,0
0.852,0,2.6,0,0,0,0,0,0,2.5226,0,0
0.853,0,2.6037,0,0,0,0,0,0,2.5262,0,0
0.854,0,2.6073,0,0,0,0,0,0,2.5296,0,0
